TweetID,Followed,Followers,Geotagged,TotalTweets,TwitterAge,Username,Verified,nHashtags,nMentions,nURLs
382813388503412736,524,497,True,4071,1990,Waqas Younas,False,3,2,0
382813391435206659,499,2531,True,18846,3028,Vajeesh Partab,False,2,2,0
382813401845485568,236,221,True,20800,1967,LISA EDENS,False,2,1,1
382813437513834497,4201,7628,True,179606,2162,"Hayat Alvi, PhD",False,2,3,1
382813444011204608,273,117,True,6615,2489,Faisal Mustafa,False,1,1,1
382813445495586816,332,520,True,20861,1780,Darwesh,False,2,1,0
382813466014121984,395,11875,True,24982,2674,Nafees Takar,False,2,2,0
382813467528282112,2105,1030,True,6635,3284,Virginia McMillan,False,2,1,1
382813501489946624,144,59,True,1268,1721,fouzia iftikhar,False,3,1,0
382813514881982464,37,1900,True,42940,1692,maria khan,False,2,0,1
382813518602313729,957,12252,True,57968,2945,Die-Hard Pakistani,False,3,1,0
382813530396700672,1386,1733,True,13072,3602,Joel Bassuk,False,1,2,0
382813532305096705,358,20854,True,26214,2988,farah lodhi khan,False,1,1,0
382813540366954497,10,20,True,35617,2201,Shakemaps M1 - M2,False,1,0,1
382813540413095936,10,20,True,35617,2201,Shakemaps M1 - M2,False,1,0,1
382813561875361792,4552,1159,True,21077,3095,John B. A. Kawecki,False,1,2,0
382813587410259968,984,28632,True,298794,2946,.,False,1,1,0
382813601024995328,780,5299,True,20940,2934,Furqan T. Siddiqui,False,4,1,0
382813620356534272,984,28632,True,298794,2946,.,False,3,2,0
382813652752928768,376,422,True,57393,3225,grs,False,2,1,0
382813700375474176,682,743,True,12344,3004,Adnan Kazmy,False,1,0,0
382813702132867072,2157,1473,True,94577,2979,Mr. A Kundi,False,3,2,1
382813719941484544,141,51,True,5474,2385,MS,False,2,1,0
382813733623300096,1246,432,True,9989,3166,Homosapien,False,1,0,1
382813761330888704,802,638,True,2867,1761,Yasir Hussain,False,3,0,1
382813788832940033,1940,5340,True,37283,3133,New Zealand Doctor,False,2,1,1
382813812040409089,63,198,True,6101,3339,Tamoor Zafar,False,4,0,1
382813829719019521,234,4037,True,21524,2711,S M Tabish Tariq,False,1,0,1
382813848006180864,240,142,True,5047,3206,Feel Good Inc,False,1,1,0
382813873679896576,231,522,True,4251,1728,Bahawal Tariq,False,2,0,0
382813924208308224,1098,4093,True,4978,2909,Wishberry.in,False,5,0,0
382813932437917696,82,23056,True,7920,2157,Qasim Ali,False,4,0,0
382813945913831424,1522,3967,True,30431,2288,Adeel Ahmed,False,2,2,0
382813996354510848,271,174,True,14586,3178,H.,False,1,1,0
382814017099558912,700,404,True,4110,3257,Louw,False,2,1,1
382814060326043648,29,132,True,98,1787,Pak Curricula Reform,False,1,1,0
382814060385161216,402,239,True,7528,1957,Farhan Khan,False,1,1,0
382814062196703232,720,867123,True,47472,2468,Umar Cheema,True,1,0,1
382814062704226304,376,422,True,57393,3225,grs,False,4,1,0
382814074104328192,474,1759,True,24639,2545,Sarah Williams,False,1,1,1
382814074439868419,2128,7276,True,181200,1946,Hani Qureshi,False,4,1,0
382814086519869441,341,346,True,2988,2208,Ziad Khan,False,5,1,0
