TweetID,CreationTime,DeltaTime,Followed,Followers,Geotagged,TotalTweets,TwitterAge,Username,Verified,nHashtags,nMentions,nURLs
382813388503412736,Wed Sep 25 10:26:38 +0000 2013,"1671 days, 0:07:04.858484",524,498,True,4071,1990,Waqas Younas,False,3,2,0
382813391435206659,Wed Sep 25 10:26:39 +0000 2013,"1671 days, 0:07:03.858484",498,2530,True,18843,3029,Vajeesh Partab,False,2,2,0
382813401845485568,Wed Sep 25 10:26:41 +0000 2013,"1671 days, 0:07:01.858484",236,220,True,20800,1968,LISA EDENS,False,2,1,1
382813437513834497,Wed Sep 25 10:26:50 +0000 2013,"1671 days, 0:06:52.858484",4200,7627,True,179666,2162,"Hayat Alvi, PhD",False,2,3,1
382813444011204608,Wed Sep 25 10:26:52 +0000 2013,"1671 days, 0:06:50.858484",273,117,True,6615,2490,Faisal Mustafa,False,1,1,1
382813445495586816,Wed Sep 25 10:26:52 +0000 2013,"1671 days, 0:06:50.858484",332,520,True,20861,1781,Darwesh,False,2,1,0
382813466014121984,Wed Sep 25 10:26:57 +0000 2013,"1671 days, 0:06:45.858484",395,11884,True,24993,2675,Nafees Takar,False,2,2,0
382813467528282112,Wed Sep 25 10:26:57 +0000 2013,"1671 days, 0:06:45.858484",2105,1030,True,6635,3284,Virginia McMillan,False,2,1,1
382813501489946624,Wed Sep 25 10:27:05 +0000 2013,"1671 days, 0:06:37.858484",144,59,True,1271,1721,fouzia iftikhar,False,3,1,0
382813514881982464,Wed Sep 25 10:27:08 +0000 2013,"1671 days, 0:06:34.858484",37,1900,True,42940,1692,maria khan,False,2,0,1
382813518602313729,Wed Sep 25 10:27:09 +0000 2013,"1671 days, 0:06:33.858484",957,12256,True,57984,2945,Die-Hard Pakistani,False,3,1,0
382813530396700672,Wed Sep 25 10:27:12 +0000 2013,"1671 days, 0:06:30.858484",1386,1733,True,13073,3603,Joel Bassuk,False,1,2,0
382813532305096705,Wed Sep 25 10:27:13 +0000 2013,"1671 days, 0:06:29.858484",358,20854,True,26222,2989,farah lodhi khan,False,1,1,0
382813540366954497,Wed Sep 25 10:27:15 +0000 2013,"1671 days, 0:06:27.858484",10,20,True,35617,2201,Shakemaps M1 - M2,False,1,0,1
382813540413095936,Wed Sep 25 10:27:15 +0000 2013,"1671 days, 0:06:27.858484",10,20,True,35617,2201,Shakemaps M1 - M2,False,1,0,1
382813561875361792,Wed Sep 25 10:27:20 +0000 2013,"1671 days, 0:06:22.858484",4552,1159,True,21077,3096,John B. A. Kawecki,False,1,2,0
382813587410259968,Wed Sep 25 10:27:26 +0000 2013,"1671 days, 0:06:16.858484",983,28635,True,298834,2946,.,False,1,1,0
382813601024995328,Wed Sep 25 10:27:29 +0000 2013,"1671 days, 0:06:13.858484",780,5300,True,20923,2935,Furqan T. Siddiqui,False,4,1,0
382813620356534272,Wed Sep 25 10:27:34 +0000 2013,"1671 days, 0:06:08.858484",983,28635,True,298834,2946,.,False,3,2,0
382813652752928768,Wed Sep 25 10:27:41 +0000 2013,"1671 days, 0:06:01.858484",379,423,True,57405,3225,grs,False,2,1,0
382813700375474176,Wed Sep 25 10:27:53 +0000 2013,"1671 days, 0:05:49.858484",682,742,True,12344,3005,Adnan Kazmy,False,1,0,0
382813702132867072,Wed Sep 25 10:27:53 +0000 2013,"1671 days, 0:05:49.858484",2155,1471,True,94806,2980,Mr. A Kundi,False,3,2,1
382813719941484544,Wed Sep 25 10:27:57 +0000 2013,"1671 days, 0:05:45.858484",141,51,True,5472,2386,MS,False,2,1,0
382813733623300096,Wed Sep 25 10:28:01 +0000 2013,"1671 days, 0:05:41.858484",1246,432,True,9989,3166,Homosapien,False,1,0,1
382813761330888704,Wed Sep 25 10:28:07 +0000 2013,"1671 days, 0:05:35.858484",802,638,True,2867,1761,Yasir Hussain,False,3,0,1
382813788832940033,Wed Sep 25 10:28:14 +0000 2013,"1671 days, 0:05:28.858484",1940,5340,True,37290,3134,New Zealand Doctor,False,2,1,1
382813812040409089,Wed Sep 25 10:28:19 +0000 2013,"1671 days, 0:05:23.858484",63,198,True,6101,3339,Tamoor Zafar,False,4,0,1
382813829719019521,Wed Sep 25 10:28:24 +0000 2013,"1671 days, 0:05:18.858984",234,4036,True,21524,2712,S M Tabish Tariq,False,1,0,1
382813848006180864,Wed Sep 25 10:28:28 +0000 2013,"1671 days, 0:05:14.858984",240,142,True,5048,3206,Feel Good Inc,False,1,1,0
382813873679896576,Wed Sep 25 10:28:34 +0000 2013,"1671 days, 0:05:08.858984",231,522,True,4251,1729,Bahawal Tariq,False,2,0,0
382813924208308224,Wed Sep 25 10:28:46 +0000 2013,"1671 days, 0:04:56.858984",1099,4123,True,4978,2910,Wishberry.in,False,5,0,0
382813932437917696,Wed Sep 25 10:28:48 +0000 2013,"1671 days, 0:04:54.858984",82,23092,True,7920,2157,Qasim Ali,False,4,0,0
382813945913831424,Wed Sep 25 10:28:51 +0000 2013,"1671 days, 0:04:51.858984",1522,3966,True,30431,2289,Adeel Ahmed,False,2,2,0
382813996354510848,Wed Sep 25 10:29:03 +0000 2013,"1671 days, 0:04:39.858984",271,175,True,14589,3179,H.,False,1,1,0
382814017099558912,Wed Sep 25 10:29:08 +0000 2013,"1671 days, 0:04:34.858984",700,404,True,4110,3257,Louw,False,2,1,1
382814060326043648,Wed Sep 25 10:29:18 +0000 2013,"1671 days, 0:04:24.858984",29,132,True,98,1788,Pak Curricula Reform,False,1,1,0
382814060385161216,Wed Sep 25 10:29:19 +0000 2013,"1671 days, 0:04:23.858984",402,239,True,7528,1958,Farhan Khan,False,1,1,0
382814062196703232,Wed Sep 25 10:29:19 +0000 2013,"1671 days, 0:04:23.858984",721,867338,True,47486,2469,Umar Cheema,True,1,0,1
382814062704226304,Wed Sep 25 10:29:19 +0000 2013,"1671 days, 0:04:23.858984",379,423,True,57405,3225,grs,False,4,1,0
382814074104328192,Wed Sep 25 10:29:22 +0000 2013,"1671 days, 0:04:20.858984",474,1759,True,24640,2545,Sarah Williams,False,1,1,1
382814074439868419,Wed Sep 25 10:29:22 +0000 2013,"1671 days, 0:04:20.858984",2128,7276,True,181200,1946,Hani Qureshi,False,4,1,0
382814086519869441,Wed Sep 25 10:29:25 +0000 2013,"1671 days, 0:04:17.858984",341,346,True,2988,2209,Ziad Khan,False,5,1,0
382814114860367872,Wed Sep 25 10:29:31 +0000 2013,"1671 days, 0:04:11.858984",2,896,True,3284,1968,Earthquake Report M6,False,6,0,1
382814115276025856,Wed Sep 25 10:29:32 +0000 2013,"1671 days, 0:04:10.858984",535,576,True,7752,2895,Shaheen Baloch,False,1,2,0
382814118056431616,Wed Sep 25 10:29:32 +0000 2013,"1671 days, 0:04:10.858984",1,740,True,22150,1968,Earthquake Report M5,False,6,0,1
382814125899784192,Wed Sep 25 10:29:34 +0000 2013,"1671 days, 0:04:08.858984",67,87,True,5968,1997,7 Continents News,False,6,0,1
382814134032531456,Wed Sep 25 10:29:36 +0000 2013,"1671 days, 0:04:06.858984",6357,8444,True,132474,2023,Armand Vervaeck 🎗️,False,6,0,1
382814138235236352,Wed Sep 25 10:29:37 +0000 2013,"1671 days, 0:04:05.858984",0,75,True,2190,2205,Earthquake Report,False,6,0,1
382814139623931904,Wed Sep 25 10:29:37 +0000 2013,"1671 days, 0:04:05.858984",106,2342,True,111276,1923,Kulbar Baloch Rind⛓,False,1,2,1
382814141620043776,Wed Sep 25 10:29:38 +0000 2013,"1671 days, 0:04:04.858984",7,1356,True,4385,2649,SOS Earthquakes,False,6,0,1
382814144824479746,Wed Sep 25 10:29:39 +0000 2013,"1671 days, 0:04:03.858984",4,1859,True,19239,2720,SOS Earthquakes,False,6,0,1
382814146620059648,Wed Sep 25 10:29:39 +0000 2013,"1671 days, 0:04:03.858984",490,29,True,617,1790,Zubair,False,1,1,0
382814148851023872,Wed Sep 25 10:29:40 +0000 2013,"1671 days, 0:04:02.858984",0,2756,True,48537,2934,SOS Earthquakes,False,6,0,1
382814152969838592,Wed Sep 25 10:29:41 +0000 2013,"1671 days, 0:04:01.858984",3,17074,True,66361,2965,Earthquake Report,False,6,0,1
382814156857950208,Wed Sep 25 10:29:42 +0000 2013,"1671 days, 0:04:00.858984",196,4509,True,54129,2226,ملاحت  ☕️🌧,False,1,2,0
382814158682877952,Wed Sep 25 10:29:42 +0000 2013,"1671 days, 0:04:00.858984",103,44,True,71,1799,Enzo Tarascio,False,1,1,1
382814164319993856,Wed Sep 25 10:29:43 +0000 2013,"1671 days, 0:03:59.858984",82,191,True,2512,2190,Iffat Zia,False,2,1,1
382814178768990208,Wed Sep 25 10:29:47 +0000 2013,"1671 days, 0:03:55.858984",160,1266,True,578778,3555,肉球ざんまい™,False,6,1,0
382814179624628224,Wed Sep 25 10:29:47 +0000 2013,"1671 days, 0:03:55.858984",833,3379,True,36643,2813,✌✌مہاجر ✌✌,False,2,2,0
382814190421168128,Wed Sep 25 10:29:49 +0000 2013,"1671 days, 0:03:53.858984",3326,17499,True,233054,2540,HH,False,2,1,0
382814241843343361,Wed Sep 25 10:30:02 +0000 2013,"1671 days, 0:03:40.858984",21,14522,True,134887,1894,STRIKE,False,6,0,0
382814257760321538,Wed Sep 25 10:30:06 +0000 2013,"1671 days, 0:03:36.858984",480,21691,True,22349,2817,Abdulhaq Omeri,False,2,0,0
382814286654865408,Wed Sep 25 10:30:12 +0000 2013,"1671 days, 0:03:30.859485",6349,5617,True,377577,3451,(((annfinster))),False,2,1,1
382814335048773632,Wed Sep 25 10:30:24 +0000 2013,"1671 days, 0:03:18.859485",1317,122962,True,344049,3011,Kamal Faridi,False,8,0,0
382814341247938562,Wed Sep 25 10:30:25 +0000 2013,"1671 days, 0:03:17.859485",777,1814,True,41791,2135,Saqib Ahmed Khanzada,False,4,1,0
382814365323247617,Wed Sep 25 10:30:31 +0000 2013,"1671 days, 0:03:11.859485",2907,21001,True,11984,2404,Sher Mohammad Bugti,True,1,0,0
382814369425285120,Wed Sep 25 10:30:32 +0000 2013,"1671 days, 0:03:10.859485",199,10442,True,210206,3242,Laiq,False,2,0,1
382814374018031616,Wed Sep 25 10:30:33 +0000 2013,"1671 days, 0:03:09.859485",2251,1613,True,39197,2292,２いーと,False,6,0,1
382814414220824576,Wed Sep 25 10:30:43 +0000 2013,"1671 days, 0:02:59.859485",747,182,True,5484,2642,Hala Fawzy,False,6,1,0
382814450119876608,Wed Sep 25 10:30:51 +0000 2013,"1671 days, 0:02:51.859485",682,742,True,12344,3005,Adnan Kazmy,False,3,2,1
382814489831555072,Wed Sep 25 10:31:01 +0000 2013,"1671 days, 0:02:41.859485",123,998,True,105101,2461,perhaps ahmed®,False,2,0,0
382814490053451776,Wed Sep 25 10:31:01 +0000 2013,"1671 days, 0:02:41.859485",573,116,True,7683,2456,Meizar zaoukari,False,2,1,1
382814495527038976,Wed Sep 25 10:31:02 +0000 2013,"1671 days, 0:02:40.859485",423,368,True,46544,2781,Yppah Syad,False,4,0,1
382814514682413056,Wed Sep 25 10:31:07 +0000 2013,"1671 days, 0:02:35.859485",693,6530,True,5422,2166,Laljan Bugti,False,0,1,0
382814523507621888,Wed Sep 25 10:31:09 +0000 2013,"1671 days, 0:02:33.859485",2989,78885,True,62740,3295,Peter Tatchell,True,6,0,1
382814530809511936,Wed Sep 25 10:31:11 +0000 2013,"1671 days, 0:02:31.859485",191,22,True,12,1714,hollybewer,False,5,0,1
382814531753639936,Wed Sep 25 10:31:11 +0000 2013,"1671 days, 0:02:31.859485",295,454,True,12268,1747,AZAD BALOCHISTAN,False,2,1,0
382814538812641280,Wed Sep 25 10:31:13 +0000 2013,"1671 days, 0:02:29.859485",983,28635,True,298835,2946,.,False,5,1,0
382814615500902400,Wed Sep 25 10:31:31 +0000 2013,"1671 days, 0:02:11.859485",10,41,True,361,1935,Osman Hyder,False,1,0,0
382814617447436288,Wed Sep 25 10:31:31 +0000 2013,"1671 days, 0:02:11.859485",632,1238,True,9010,2534,Ed Williams,False,1,3,0
382814633213448192,Wed Sep 25 10:31:35 +0000 2013,"1671 days, 0:02:07.859485",4992,3037,True,58866,2250,Navinananda,False,0,1,0
382814634090037248,Wed Sep 25 10:31:35 +0000 2013,"1671 days, 0:02:07.859485",158,1456,True,752090,2297,News Detector,False,3,0,1
382814651580678144,Wed Sep 25 10:31:39 +0000 2013,"1671 days, 0:02:03.859485",4300,1420,True,40729,2306,Mudifer,False,3,1,0
382814668257263616,Wed Sep 25 10:31:43 +0000 2013,"1671 days, 0:01:59.859485",4512,2290,True,425063,3272,Rashid Castle-Ali,False,1,2,0
382814695113379840,Wed Sep 25 10:31:50 +0000 2013,"1671 days, 0:01:52.859485",93,4495,True,239012,2897,Zenub Babur Butt,False,1,1,0
382814739367084032,Wed Sep 25 10:32:00 +0000 2013,"1671 days, 0:01:42.859485",1655,119390,True,215729,2404,Zarrar Khuhro,False,1,1,0
382814746774626304,Wed Sep 25 10:32:02 +0000 2013,"1671 days, 0:01:40.859485",50,769,True,6844,2904,Shabbir,False,3,0,1
382814752591732736,Wed Sep 25 10:32:04 +0000 2013,"1671 days, 0:01:38.859485",186,896427,True,103294,3357,The National,True,1,1,1
382814766852358145,Wed Sep 25 10:32:07 +0000 2013,"1671 days, 0:01:35.859485",557,2077,True,1036,2833,Zeresh John,False,2,0,1
382814800163508224,Wed Sep 25 10:32:15 +0000 2013,"1671 days, 0:01:27.859485",4989,1671,True,193571,1831,frischer_fischer,False,6,1,0
382814800293543938,Wed Sep 25 10:32:15 +0000 2013,"1671 days, 0:01:27.859485",869,8180,True,84223,2276,Rukhsana Qayyum Baig,False,1,2,0
382814811999838208,Wed Sep 25 10:32:18 +0000 2013,"1671 days, 0:01:24.859485",9735,63186,True,46754,3070,WeedWisdom,False,8,0,0
382814827439071232,Wed Sep 25 10:32:21 +0000 2013,"1671 days, 0:01:21.859485",869,8180,True,84223,2276,Rukhsana Qayyum Baig,False,3,2,0
382814858309140480,Wed Sep 25 10:32:29 +0000 2013,"1671 days, 0:01:13.859485",456,2304,True,42764,3013,Umer F. Pirzada,False,4,1,0
382814863774326784,Wed Sep 25 10:32:30 +0000 2013,"1671 days, 0:01:12.859485",405,395,True,9602,3751,hasanmubarak,False,1,1,0
382814873727410176,Wed Sep 25 10:32:32 +0000 2013,"1671 days, 0:01:10.859485",22,11,True,102,1701,Mireen baloch,False,1,0,0
