TweetID,CreationTime,DeltaTime,Followed,Followers,Geotagged,Label,TotalTweets,TwitterAge,Username,Verified,nHashtags,nMentions,nURLs
503642976976113664,Sun Aug 24 20:40:17 +0000 2014,0:00:00,51,37,True,infrastructure_and_utilities_damage,2495,1879,JULIANA,False,1,2,1
503642977588494337,Sun Aug 24 20:40:17 +0000 2014,0:00:00,1132,37310,True,injured_or_dead_people,10537,3279,All Tech Considered,True,1,1,1
503642982189252608,Sun Aug 24 20:40:18 +0000 2014,0:00:01,1008,526,True,other_useful_information,8945,1691,the ghetto joker,False,7,0,0
503642984429395968,Sun Aug 24 20:40:19 +0000 2014,0:00:02,59,23,True,other_useful_information,54,1395,shannon cape,False,0,1,1
503642985167609856,Sun Aug 24 20:40:19 +0000 2014,0:00:02,895,1919,True,injured_or_dead_people,11135,3392,Joe Hennon,False,0,0,0
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,0:00:03,1121,944,True,sympathy_and_emotional_support,31451,2079,Emma White (Cr),False,0,1,1
503642992541171712,Sun Aug 24 20:40:21 +0000 2014,0:00:04,348,155,True,infrastructure_and_utilities_damage,1775,2045,enricomarch19,False,0,1,0
503642993677443072,Sun Aug 24 20:40:21 +0000 2014,0:00:04,840,1337,True,other_useful_information,127161,2312,yis,False,2,1,0
503642995879849985,Sun Aug 24 20:40:22 +0000 2014,0:00:05,190,433,True,other_useful_information,15881,2523,andrés,False,1,0,0
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,0:00:05,1158,2486,True,not_related_or_irrelevant,71058,3570,JLichtenberg,False,0,1,1
503642998664884225,Sun Aug 24 20:40:22 +0000 2014,0:00:05,1708,1335,True,other_useful_information,239654,1544,Los Angeles agent,False,1,0,1
503642998832242689,Sun Aug 24 20:40:22 +0000 2014,0:00:05,45,71,True,caution_and_advice,1741,1664,Oscar Anguiano,False,2,1,0
503643000913006593,Sun Aug 24 20:40:23 +0000 2014,0:00:06,1841,700,True,other_useful_information,46731,1432,Regina Calcara,False,2,1,0
503643001185636352,Sun Aug 24 20:40:23 +0000 2014,0:00:06,4554,7087,True,infrastructure_and_utilities_damage,41316,1720,DRC Group,False,4,0,1
503643001722118144,Sun Aug 24 20:40:23 +0000 2014,0:00:06,2253,1871,True,other_useful_information,9153,2718,Robyn Lewis,False,2,1,0
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,0:00:06,265,105,True,not_related_or_irrelevant,4520,1400,No Chill Ross,False,0,1,1
503643004759195650,Sun Aug 24 20:40:24 +0000 2014,0:00:07,159,303,True,injured_or_dead_people,2636,1504,OpenStreetMap Québec,False,2,1,0
503643009817128960,Sun Aug 24 20:40:25 +0000 2014,0:00:08,1012,25044,True,injured_or_dead_people,39152,3628,Kevin Roderick,False,0,2,1
