TweetID,CreationTime,Followed,Followers,Geotagged,Label,TotalTweets,TwitterAge,Username,Verified,nHashtags,nMentions,nURLs,DeltaSeconds
503642976976113664,Sun Aug 24 20:40:17 +0000 2014,51,37,True,infrastructure_and_utilities_damage,2495,1879,JULIANA,False,1,2,1,0
503642977588494337,Sun Aug 24 20:40:17 +0000 2014,1132,37310,True,injured_or_dead_people,10537,3279,All Tech Considered,True,1,1,1,0
503642982189252608,Sun Aug 24 20:40:18 +0000 2014,1008,526,True,other_useful_information,8945,1691,the ghetto joker,False,7,0,0,1
503642984429395968,Sun Aug 24 20:40:19 +0000 2014,59,23,True,other_useful_information,54,1395,shannon cape,False,0,1,1,2
503642985167609856,Sun Aug 24 20:40:19 +0000 2014,895,1919,True,injured_or_dead_people,11135,3392,Joe Hennon,False,0,0,0,2
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,1121,944,True,sympathy_and_emotional_support,31451,2079,Emma White (Cr),False,0,1,1,3
503642992541171712,Sun Aug 24 20:40:21 +0000 2014,348,155,True,infrastructure_and_utilities_damage,1775,2045,enricomarch19,False,0,1,0,4
503642993677443072,Sun Aug 24 20:40:21 +0000 2014,840,1337,True,other_useful_information,127161,2312,yis,False,2,1,0,4
503642995879849985,Sun Aug 24 20:40:22 +0000 2014,190,433,True,other_useful_information,15881,2523,andrés,False,1,0,0,5
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,1158,2486,True,not_related_or_irrelevant,71058,3570,JLichtenberg,False,0,1,1,5
503642998664884225,Sun Aug 24 20:40:22 +0000 2014,1708,1335,True,other_useful_information,239654,1544,Los Angeles agent,False,1,0,1,5
503642998832242689,Sun Aug 24 20:40:22 +0000 2014,45,71,True,caution_and_advice,1741,1664,Oscar Anguiano,False,2,1,0,5
503643000913006593,Sun Aug 24 20:40:23 +0000 2014,1841,700,True,other_useful_information,46731,1432,Regina Calcara,False,2,1,0,6
503643001185636352,Sun Aug 24 20:40:23 +0000 2014,4554,7087,True,infrastructure_and_utilities_damage,41316,1720,DRC Group,False,4,0,1,6
503643001722118144,Sun Aug 24 20:40:23 +0000 2014,2253,1871,True,other_useful_information,9153,2718,Robyn Lewis,False,2,1,0,6
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,265,105,True,not_related_or_irrelevant,4520,1400,No Chill Ross,False,0,1,1,6
503643004759195650,Sun Aug 24 20:40:24 +0000 2014,159,303,True,injured_or_dead_people,2636,1504,OpenStreetMap Québec,False,2,1,0,7
503643009817128960,Sun Aug 24 20:40:25 +0000 2014,1012,25044,True,injured_or_dead_people,39152,3628,Kevin Roderick,False,0,2,1,8
503643010127499264,Sun Aug 24 20:40:25 +0000 2014,95,97,True,other_useful_information,4342,2366,2-14 dumbasses,False,4,0,0,8
503643011990183936,Sun Aug 24 20:40:25 +0000 2014,727,254,True,other_useful_information,1370,1821,P K D,False,0,0,1,8
503643013852463104,Sun Aug 24 20:40:26 +0000 2014,14880,14420,True,infrastructure_and_utilities_damage,670954,2259,Christine Huddleston,False,0,1,1,9
503643016653860864,Sun Aug 24 20:40:27 +0000 2014,195,259,True,injured_or_dead_people,8276,2544,JMAG,False,1,0,0,10
503643018906570752,Sun Aug 24 20:40:27 +0000 2014,464,2023,True,other_useful_information,130427,3364,Jin,False,0,2,0,10
503643019653181440,Sun Aug 24 20:40:27 +0000 2014,190,167,True,injured_or_dead_people,883,1949,Nicholas Kavanaugh,False,1,1,0,10
503643027076694016,Sun Aug 24 20:40:29 +0000 2014,840,1182,True,infrastructure_and_utilities_damage,70432,2730,DEBRA LEE,False,0,0,0,12
503643028591218688,Sun Aug 24 20:40:29 +0000 2014,263,98,True,other_useful_information,1186,3153,Angel Preciado,False,2,1,1,12
503643029559734272,Sun Aug 24 20:40:30 +0000 2014,739,1856,True,other_useful_information,6589,3017,ARC Gold Country,False,1,7,0,13
503643033016233985,Sun Aug 24 20:40:30 +0000 2014,3091,3685,True,infrastructure_and_utilities_damage,13913,3354,Michelle Evans,False,1,1,1,13
503643033280462848,Sun Aug 24 20:40:31 +0000 2014,1903,2216,True,other_useful_information,155506,2428,Zanshi 惨死 (D - Sh*tty Kitty),False,1,2,0,14
503643033905410048,Sun Aug 24 20:40:31 +0000 2014,4301,3517,True,other_useful_information,72382,2629,Sally Eastman,False,0,1,0,14
